#Bentoumi Feth-Allah, Bosch I Sais Jordi, Casol Nicolas, Jouet Jeremie, Leger Olivier, Menet Cedric
200,78,30
bus0,l1:a:v25,l2:r:v5
bus1,l1:a:v43,l2:a:v33,l2:r:v35,l3:a:v12
bus2,l1:a:v34,l1:r:v27,l10:a:v6,l12:a:v3
bus3,l1:a:v33,l3:a:v9,l11:r:v5
bus4,l2:r:v6,l3:r:v35,l13:r:v5
bus5,l3:r:v0
bus6,l1:a:v35
bus7,l3:a:v26,l3:r:v18,l10:r:v16,l15:r:v0
bus8,l11:a:v2,l11:a:v17
bus9,l1:a:v38
bus10,l14:a:v3
bus11,l11:r:v0
bus12,l2:r:v26,l12:r:v15
bus13,l2:a:v2,l2:r:v13
bus14,l2:r:v21,l3:r:v8,l12:a:v5
bus15,l1:r:v25,l3:a:v36,l3:r:v40,l4:r:v3,l12:r:v2,l14:a:v6
bus16,l2:a:v37
bus17,l1:r:v22,l7:a:v2
bus18,l4:a:v11,l6:a:v2
bus19
bus20,l3:r:v19,l10:a:v16
bus21,l3:r:v22,l11:r:v3,l12:r:v11
bus22,l3:r:v5,l12:a:v10
bus23,l1:a:v6,l2:a:v32,l7:a:v7
bus24,l3:a:v32,l11:r:v10,l12:r:v8,l12:r:v18
bus25,l10:a:v4,l11:a:v15
bus26,l1:r:v12,l1:r:v38,l3:a:v3,l3:a:v28
bus27,l3:a:v5
bus28,l2:a:v15,l11:a:v13,l11:r:v17
bus29,l6:a:v1,l12:a:v17
bus30,l1:r:v1,l2:a:v20,l3:r:v41,l7:a:v1
bus31,l5:a:v2
bus32,l1:a:v27,l1:r:v4
bus33,l2:a:v35,l3:r:v2,l10:a:v12,l12:r:v9,l13:r:v1,l14:a:v11
bus34,l2:a:v24,l2:r:v12,l3:a:v23,l11:r:v18
bus35,l1:a:v3,l2:a:v42,l2:r:v11,l2:r:v24,l9:a:v3
bus36,l10:r:v12,l11:a:v20,l14:r:v6
bus37,l11:a:v8
bus38,l9:r:v0
bus39,l2:a:v7,l2:a:v39,l3:r:v3,l13:a:v6
bus40,l6:a:v4,l11:r:v11
bus41,l1:a:v22,l2:a:v13,l3:r:v7,l3:r:v11,l11:r:v14,l12:a:v9
bus42,l1:a:v5,l3:r:v30,l5:r:v4,l11:a:v10
bus43,l1:a:v15,l2:r:v37,l5:a:v3,l5:r:v7
bus44,l1:r:v34,l2:a:v12
bus45,l2:r:v7,l5:a:v9
bus46,l2:r:v3,l3:a:v1,l3:a:v38,l7:r:v2
bus47,l2:r:v10,l2:r:v16,l2:r:v42,l6:a:v9,l6:r:v0,l12:a:v11
bus48,l2:r:v18,l3:r:v26,l7:r:v8
bus49,l1:r:v0,l7:a:v5,l13:a:v8
bus50,l2:r:v39,l10:a:v5,l12:a:v1
