#Bentoumi Feth-Allah, Bosch I Sais Jordi, Casol Nicolas, Jouet Jeremie, Leger Olivier, Menet Cedric
111,32988,12084
bus0,l1:r:v25,l3:a:v43,l4:r:v1,l12:r:v8
bus1,l2:a:v4,l3:a:v34,l10:a:v12,l12:a:v10,l14:r:v12
bus2,l1:a:v22,l2:a:v13,l2:r:v35,l6:a:v2,l14:a:v9
bus3,l1:a:v43,l3:a:v28,l3:a:v37,l3:r:v18,l10:r:v1
bus4,l3:a:v25,l3:r:v32,l4:a:v12,l10:a:v6,l10:r:v7
bus5,l2:a:v2,l3:a:v29,l3:a:v39,l3:r:v6,l3:r:v35,l12:r:v20,l14:r:v3
bus6,l1:r:v22,l5:r:v9,l6:a:v5,l11:r:v6,l13:a:v1
bus7,l3:a:v31,l4:a:v9,l4:r:v7,l5:r:v5,l14:a:v10
bus8,l1:a:v23,l3:r:v24,l5:r:v1,l12:r:v14
bus9,l2:a:v42,l7:a:v8
bus10,l2:a:v36,l2:a:v43,l2:r:v34,l3:a:v17,l5:a:v1,l5:a:v2,l11:a:v14,l15:r:v4
bus11,l1:r:v33,l5:a:v4,l10:r:v12
bus12,l1:r:v9,l3:a:v7,l3:r:v29,l6:a:v1,l7:r:v8
bus13,l1:a:v40,l1:r:v19,l2:a:v33,l3:r:v21,l4:r:v4,l6:a:v10,l7:r:v2,l12:r:v12
bus14,l3:a:v18,l3:r:v37,l4:r:v2,l9:r:v1,l12:a:v21
bus15,l1:r:v17,l2:r:v25,l2:r:v29,l2:r:v32,l3:a:v1,l3:r:v9,l12:a:v7,l14:a:v12
bus16,l1:r:v26,l3:r:v14,l3:r:v36,l5:a:v6,l13:r:v1
bus17,l2:r:v15,l2:r:v30,l4:a:v3,l9:r:v4,l12:a:v19,l12:r:v3
bus18,l1:a:v17,l1:r:v14,l2:a:v8,l2:r:v22,l13:r:v7
bus19,l1:a:v18,l1:a:v37,l3:a:v11,l3:a:v36,l3:r:v30
bus20,l2:a:v20,l12:a:v13,l13:a:v2,l13:r:v8
bus21,l1:a:v24,l1:a:v28,l2:a:v1,l2:r:v19,l2:r:v38,l6:r:v10,l15:r:v8
bus22,l1:a:v6,l1:r:v8,l2:r:v28,l3:r:v17,l3:r:v25,l4:a:v5,l10:a:v16,l11:a:v20
bus23,l2:a:v7,l2:r:v4,l3:a:v3,l3:r:v13,l6:r:v1,l10:a:v19,l12:a:v15,l13:a:v4
bus24,l2:a:v21,l2:r:v31,l3:r:v33,l7:a:v10,l12:a:v8,l12:r:v4,l15:r:v9
bus25,l1:r:v2,l7:r:v4,l11:r:v4,l13:a:v6,l13:r:v6
bus26,l1:r:v37,l2:a:v26,l2:r:v17,l3:r:v34,l12:a:v4
bus27,l2:r:v10,l11:a:v11,l11:r:v9,l12:r:v7,l13:a:v8
bus28,l1:r:v32,l2:r:v23,l3:a:v41,l3:r:v44,l6:r:v8,l14:a:v2,l14:r:v4,l14:r:v6
bus29,l1:r:v20,l3:a:v12,l3:r:v43,l6:r:v3,l12:a:v18
