###>
###>
ligne:2   start:T4(16:34)   end:T5(16:58)
ligne:3   start:T2(11:22)   end:T4(12:00)
ligne:7   start:T5(17:20)   end:T12(17:51)
ligne:10   start:T16(15:16)   end:T15(15:49)
ligne:12   start:T2(09:30)   end:T18(10:17)
ligne:13   start:T20(14:27)   end:T16(15:03)
ligne:15   start:T22(7:44)   end:T13(8:04)
Nb trajet totale pour le bus 12 : 7
###>
ligne:1   start:T2(13:22)   end:T1(13:50)
ligne:1   start:T2(17:02)   end:T1(17:30)
ligne:2   start:T5(09:02)   end:T4(09:27)
ligne:3   start:T2(10:41)   end:T4(11:19)
ligne:3   start:T2(14:21)   end:T4(14:58)
ligne:3   start:T2(17:45)   end:T4(18:22)
ligne:6   start:T5(12:37)   end:T2(12:52)
ligne:12   start:T18(07:13)   end:T2(08:00)
ligne:14   start:T14(16:00)   end:T15(16:28)
Nb trajet totale pour le bus 13 : 9
###>
ligne:2   start:T4(06:56)   end:T5(07:18)
ligne:3   start:T5(11:47)   end:T4(12:17)
ligne:4   start:T7(10:29)   end:T5(10:37)
ligne:7   start:T5(08:55)   end:T12(09:24)
ligne:10   start:T15(15:21)   end:T16(15:46)
ligne:11   start:T17(18:19)   end:T16(19:13)
ligne:12   start:T18(13:58)   end:T2(14:45)
ligne:12   start:T18(16:26)   end:T2(17:13)
ligne:14   start:T14(12:55)   end:T15(13:23)
Nb trajet totale pour le bus 14 : 9
###>
ligne:2   start:T4(11:38)   end:T5(12:04)
ligne:2   start:T4(15:58)   end:T5(16:21)
ligne:2   start:T4(18:17)   end:T5(18:40)
ligne:12   start:T2(13:09)   end:T18(13:56)
ligne:12   start:T2(14:23)   end:T18(15:10)
ligne:13   start:T16(08:27)   end:T20(09:10)
ligne:14   start:T14(09:50)   end:T15(10:18)
Nb trajet totale pour le bus 15 : 7
###>
ligne:1   start:T1(16:56)   end:T2(17:33)
ligne:2   start:T5(11:00)   end:T4(11:25)
ligne:3   start:T4(15:06)   end:T2(15:36)
ligne:4   start:T5(10:10)   end:T7(10:25)
ligne:11   start:T17(07:04)   end:T16(07:58)
ligne:11   start:T16(12:38)   end:T17(13:26)
Nb trajet totale pour le bus 16 : 6
###>
ligne:2   start:T4(14:33)   end:T5(14:55)
ligne:3   start:T4(11:06)   end:T2(11:36)
ligne:9   start:T2(6:35)   end:T13(7:15)
ligne:9   start:T13(19:58)   end:T2(20:40)
ligne:10   start:T15(13:23)   end:T16(13:48)
ligne:11   start:T17(17:44)   end:T16(18:40)
ligne:11   start:T16(08:38)   end:T17(09:28)
