#Bentoumi Feth-Allah, Bosch I Sais Jordi, Casol Nicolas, Jouet Jeremie, Leger Olivier, Menet Cedric
135,33776,12416
bus0,l5:a:v2,l5:r:v2,l5:r:v5,l10:r:v10,l11:a:v20,l12:r:v16,l13:a:v7,l13:r:v10
bus1,l2:a:v22,l2:a:v31,l2:r:v35,l3:a:v6,l3:a:v14,l3:r:v30,l9:a:v4
bus2,l1:a:v35,l2:a:v24,l3:a:v32,l13:a:v5,l14:a:v4,l15:r:v9
bus3,l2:r:v16,l10:a:v16,l10:r:v5
bus4,l1:r:v6,l1:r:v16,l2:r:v22,l2:r:v25,l3:r:v39,l11:r:v19
bus5,l1:r:v11,l2:a:v19,l3:a:v13,l4:r:v10,l5:r:v1
bus6,l3:r:v7,l5:a:v9,l15:a:v3,l15:r:v2
bus7,l3:a:v27,l3:r:v31,l3:r:v38,l13:a:v6
bus8,l1:a:v33,l2:a:v1,l2:r:v7,l3:a:v18,l3:a:v28,l6:a:v6,l12:r:v21
bus9,l2:a:v15,l4:a:v3,l5:r:v6,l6:r:v1,l7:a:v9,l12:a:v2,l12:a:v13
bus10,l1:a:v30,l1:r:v26,l2:r:v3,l3:a:v8,l4:r:v7,l7:r:v3,l11:r:v8
bus11,l1:a:v17,l1:a:v34,l3:r:v1,l4:a:v1,l10:a:v5
bus12,l1:a:v21,l1:a:v27,l3:a:v3,l7:r:v10,l14:r:v2,l15:r:v8
bus13,l5:r:v7,l7:r:v4,l11:r:v3
bus14,l1:a:v23,l1:a:v31,l1:r:v12,l1:r:v24,l2:a:v20,l3:a:v31,l5:a:v3,l6:r:v9
bus15,l2:a:v29,l2:a:v33,l3:r:v14,l4:a:v6,l14:a:v5
bus16,l1:a:v4,l3:r:v20,l3:r:v28,l3:r:v42,l4:r:v1,l6:a:v2,l12:r:v15
bus17,l4:r:v11,l12:a:v8,l12:r:v3,l15:r:v7
bus18,l1:a:v29,l1:a:v40,l3:a:v20,l3:r:v27,l4:a:v2,l7:a:v2,l9:a:v3,l11:a:v17
bus19,l1:a:v24,l11:a:v18,l13:a:v11
bus20,l4:a:v7,l6:r:v8,l7:a:v4,l10:r:v16
bus21,l5:a:v11,l5:r:v4
bus22,l10:a:v1,l12:a:v4,l13:a:v4
bus23,l1:r:v41,l2:a:v2,l3:r:v29,l12:r:v2
bus24,l1:a:v12,l3:r:v24,l6:a:v7,l7:a:v8
bus25,l1:a:v1,l1:a:v28,l2:r:v23,l4:a:v4,l15:a:v2
bus26,l4:a:v10,l11:a:v8,l11:r:v13
bus27,l1:r:v5,l1:r:v36,l4:a:v5,l6:r:v10,l10:r:v13
bus28,l1:a:v3,l7:a:v3,l10:r:v9,l13:a:v10
bus29,l1:r:v15,l2:r:v21,l3:a:v36,l3:r:v40,l12:a:v7
bus30,l1:r:v37,l2:r:v29,l3:a:v39,l4:r:v2
bus31,l2:a:v41,l6:r:v6,l12:a:v1,l15:r:v4
bus32,l10:a:v20,l12:a:v15,l12:r:v10
bus33,l1:r:v32,l3:r:v19,l5:a:v4,l5:r:v9,l14:r:v6
bus34,l2:a:v10,l2:r:v8,l5:r:v10,l10:a:v12,l11:a:v2,l11:r:v10
bus35,l1:a:v18,l1:r:v20,l2:a:v6,l3:a:v40,l10:a:v14,l14:r:v10
bus36,l1:a:v19,l2:a:v7,l2:a:v9,l3:a:v42,l6:a:v3,l9:r:v2,l11:r:v12,l12:a:v23
