#Bentoumi Feth-Allah, Bosch I Sais Jordi, Casol Nicolas, Jouet Jeremie, Leger Olivier, Menet Cedric
151,36662,13642
bus0,l1:a:v36,l1:r:v25
bus1,l1:a:v15,l3:a:v37,l3:r:v43
bus2,l1:a:v24,l2:a:v8,l3:a:v4,l15:r:v8
bus3,l1:a:v37,l2:r:v12,l3:r:v24,l5:a:v9
bus4,l7:a:v1,l10:r:v17
bus5,l1:r:v2,l2:a:v10
bus6,l1:a:v19,l1:r:v16,l3:r:v4,l11:a:v4,l14:r:v9
bus7,l11:a:v15,l12:a:v6,l13:a:v1
bus8,l1:a:v25,l3:a:v32,l3:r:v11,l10:a:v20
bus9,l1:a:v4,l12:r:v3
bus10,l2:a:v3,l2:a:v30,l3:r:v23,l6:r:v9,l12:a:v8
bus11,l1:a:v20,l3:a:v8,l7:r:v10
bus12,l3:a:v24,l3:r:v38,l6:a:v4,l7:r:v2
bus13,l1:a:v35,l1:r:v28,l10:a:v10
bus14,l1:r:v17,l4:r:v6,l6:a:v8,l9:a:v1
bus15,l4:a:v3,l6:a:v7,l12:a:v22,l12:r:v8
bus16,l2:a:v42,l7:r:v8,l12:a:v13
bus17,l4:a:v8,l12:r:v1
bus18,l2:a:v23,l3:a:v3,l4:a:v10,l10:r:v13
bus19,l2:a:v32,l3:r:v16,l3:r:v20,l6:r:v10
bus20,l2:a:v40
bus21,l3:r:v2,l10:r:v9,l11:r:v18,l15:a:v1
bus22,l2:a:v14,l2:a:v21,l2:r:v11,l3:a:v9,l3:a:v31,l3:a:v34
bus23,l11:a:v21,l11:r:v16
bus24,l2:r:v24,l10:r:v5,l11:a:v16
bus25,l2:a:v2,l2:a:v9,l2:a:v41,l11:r:v15,l12:r:v13,l14:a:v11
bus26,l10:a:v17,l11:a:v20,l13:a:v2,l13:a:v6
bus27,l1:r:v23,l3:a:v39,l10:a:v9,l11:r:v4,l15:r:v3
bus28,l2:r:v34,l3:r:v6,l14:r:v7
bus29,l2:a:v39,l5:r:v9,l6:r:v5,l11:r:v3,l14:r:v4
bus30,l4:r:v1,l12:a:v10,l12:a:v17
bus31,l5:r:v6,l9:r:v4,l12:a:v5
bus32,l2:a:v43,l5:a:v11
bus33,l10:r:v7,l13:a:v8
