#Bentoumi Feth-Allah, Bosch I Sais Jordi, Casol Nicolas, Jouet Jeremie, Leger Olivier, Menet Cedric
108,33116,12138
bus0,l2:a:v26,l7:a:v3,l11:r:v16,l12:a:v11
bus1,l2:a:v11,l2:a:v13,l3:a:v11,l10:a:v9,l12:r:v12,l13:r:v7,l15:r:v8
bus2,l2:a:v25,l3:a:v5,l3:a:v39,l5:r:v6,l12:a:v17,l15:r:v3
bus3,l2:r:v24,l3:r:v16,l5:a:v10,l11:r:v9,l11:r:v18,l12:a:v2
bus4,l1:a:v5,l2:a:v10,l2:a:v27,l2:a:v41,l3:r:v3,l3:r:v40,l7:r:v3,l14:a:v5
bus5,l3:a:v21,l3:r:v9,l3:r:v18,l5:a:v8,l11:r:v19
bus6,l1:a:v39,l3:r:v7,l11:a:v8,l12:r:v13
bus7,l2:a:v20,l2:r:v9,l3:r:v34,l3:r:v41,l14:a:v1,l15:a:v5
bus8,l2:a:v23,l3:a:v30,l3:r:v38,l5:r:v5,l14:r:v2
bus9,l1:r:v11,l3:a:v10,l6:a:v6,l7:a:v7,l9:a:v2,l11:r:v15
bus10,l1:a:v15,l1:r:v9,l9:a:v1,l14:a:v9,l15:a:v8
bus11,l1:r:v14,l2:r:v43,l10:r:v13,l14:a:v7
bus12,l1:a:v4,l2:a:v35,l3:r:v42,l7:a:v8
bus13,l3:a:v19,l4:a:v3,l5:r:v10,l7:a:v2,l10:r:v10,l10:r:v12,l13:a:v7
bus14,l2:r:v4,l5:a:v11,l13:a:v4
bus15,l2:a:v30,l2:r:v6,l2:r:v22,l10:a:v6,l10:r:v3,l12:a:v10,l12:a:v21,l12:r:v18
bus16,l1:a:v41,l1:r:v7,l2:r:v12,l3:a:v22,l3:a:v26,l12:r:v14,l14:a:v4
bus17,l2:a:v33,l3:r:v32,l3:r:v44,l5:a:v4,l13:r:v6
bus18,l1:a:v21,l3:a:v28,l7:r:v10,l11:a:v1,l11:r:v6,l12:a:v16
bus19,l2:a:v31,l10:a:v3,l11:a:v9,l12:a:v22,l14:r:v12,l15:a:v4
bus20,l1:r:v17,l2:r:v35,l4:r:v9,l12:a:v6,l15:a:v1,l15:r:v1
bus21,l1:a:v14,l1:a:v17,l2:a:v5,l2:r:v31,l3:a:v25,l7:r:v9
bus22,l2:r:v17,l3:a:v8,l3:a:v29,l12:a:v5,l15:a:v9
bus23,l2:a:v40,l5:r:v3,l6:r:v10,l7:a:v5,l12:a:v13
bus24,l5:a:v1,l10:a:v5,l10:a:v7,l11:a:v14,l13:a:v10,l14:a:v2,l14:a:v6
bus25,l1:a:v29,l3:a:v24,l5:a:v12,l6:r:v7,l11:r:v8,l12:r:v5
bus26,l1:a:v31,l1:r:v34,l11:r:v13,l12:r:v6,l15:r:v4
bus27,l1:a:v22,l1:a:v34,l1:r:v30,l5:a:v3,l7:r:v7,l11:a:v20
bus28,l1:a:v19,l6:r:v4,l7:r:v6,l11:a:v15,l13:r:v3,l14:a:v11
bus29,l1:a:v16,l2:a:v12,l2:a:v39,l3:a:v27,l3:r:v23,l9:r:v4,l11:r:v2
bus30,l1:r:v1,l1:r:v12,l3:a:v37,l3:r:v26,l12:a:v4,l12:a:v20
bus31,l3:r:v24,l10:a:v10,l12:r:v15,l13:a:v3,l13:r:v9
bus32,l2:a:v8,l7:r:v4
bus33,l1:a:v40,l2:r:v27,l3:a:v32
bus34,l2:a:v2,l2:r:v39,l3:r:v8,l4:a:v2,l4:a:v9,l13:r:v10
bus35,l1:a:v3,l2:r:v8,l3:r:v15,l3:r:v30,l4:r:v6,l4:r:v10,l5:a:v6,l11:a:v19
bus36,l2:r:v25,l6:a:v4,l6:r:v2,l10:r:v9,l10:r:v16,l11:a:v3
bus37,l1:a:v11,l2:a:v1,l2:r:v2,l5:a:v7,l7:r:v5,l13:a:v8,l14:r:v11
bus38,l1:a:v28,l1:r:v5,l3:r:v25,l4:r:v2,l5:r:v12,l6:a:v3,l15:a:v7
bus39,l3:a:v9,l10:r:v17,l13:r:v4,l13:r:v8,l14:r:v7
bus40,l1:a:v20,l1:r:v41,l3:r:v28,l3:r:v35,l3:r:v39,l4:r:v11,l11:a:v6
bus41,l2:a:v3,l3:r:v2,l3:r:v14,l4:a:v8,l5:r:v7,l7:a:v10,l12:a:v23
bus42,l1:a:v35,l1:r:v10,l2:a:v32,l2:r:v15,l2:r:v26,l3:a:v13,l4:a:v5,l12:r:v20
bus43,l2:a:v14,l2:a:v22,l2:r:v29,l2:r:v40,l3:r:v4,l3:r:v11,l3:r:v21
bus44,l2:r:v34,l2:r:v41,l5:r:v8,l12:r:v7,l13:a:v6
bus45,l1:r:v20,l1:r:v24,l2:r:v16,l3:r:v6,l6:a:v8,l7:r:v2
bus46,l1:a:v13,l1:r:v8,l2:a:v24,l2:r:v18,l3:r:v33,l4:a:v4,l10:a:v18,l12:r:v2
bus47,l2:a:v34,l3:r:v5,l14:a:v8
bus48,l2:r:v33,l3:a:v40,l6:r:v8,l10:r:v6,l12:a:v14,l13:r:v1,l14:r:v6
bus49,l1:a:v37,l1:r:v22,l3:a:v34,l11:r:v5
bus50,l3:a:v23,l3:r:v22,l10:a:v16,l11:a:v4,l15:a:v2,l15:a:v6
bus51,l2:r:v19,l6:r:v9,l9:r:v3,l10:a:v14,l11:a:v21,l11:r:v4
bus52,l2:a:v15,l2:a:v17,l2:a:v42,l4:a:v6,l10:a:v12,l10:r:v4,l11:r:v14,l12:a:v3
bus53,l3:a:v15,l7:a:v1,l12:a:v12,l12:r:v9,l12:r:v19,l15:r:v6
bus54,l1:r:v4,l2:r:v21,l3:a:v36,l3:a:v41,l4:r:v3,l12:a:v1
bus55,l1:a:v25,l1:r:v18,l2:r:v28,l3:a:v42,l3:a:v44,l9:r:v1,l15:r:v2
bus56,l2:r:v5,l2:r:v11,l3:a:v12,l6:a:v7,l10:r:v14,l12:a:v9
bus57,l1:r:v28,l1:r:v40,l3:r:v12,l4:r:v7,l7:r:v1,l9:a:v3,l11:a:v17,l11:r:v7
bus58,l2:a:v18,l2:a:v37,l3:a:v14,l4:r:v4,l7:a:v4,l10:a:v2,l10:a:v15
bus59,l1:a:v6,l2:r:v42,l10:r:v8,l10:r:v15,l12:r:v4
bus60,l1:a:v42,l1:r:v23,l5:r:v1,l10:a:v8
bus61,l1:r:v13,l2:a:v19,l12:a:v18,l12:r:v11
bus62,l1:a:v1,l1:r:v2,l2:r:v13,l3:a:v20,l4:r:v1,l5:r:v11,l6:a:v2,l9:a:v4,l10:a:v13
bus63,l5:r:v9,l10:r:v7,l11:a:v2,l11:a:v5,l11:r:v11
bus64,l3:a:v38,l4:a:v12,l5:a:v2,l11:a:v13,l13:r:v5
bus65,l1:a:v36,l3:r:v10,l10:r:v5
bus66,l1:a:v12,l1:a:v44,l1:r:v25,l1:r:v35,l3:a:v6,l3:r:v37,l6:r:v5
bus67,l1:a:v23,l1:r:v26,l5:a:v5,l6:a:v5,l12:a:v19
bus68,l1:a:v24,l1:r:v36,l15:a:v3,l15:r:v7
bus69,l2:a:v7,l2:a:v16,l11:a:v18,l12:r:v10,l14:r:v4
bus70,l2:r:v23,l3:a:v2,l3:a:v35,l6:a:v10,l10:a:v4,l13:a:v5,l14:r:v1
bus71,l1:a:v2,l1:r:v27,l2:a:v6,l2:r:v32,l2:r:v36,l5:r:v4,l11:r:v10,l13:a:v11
bus72,l3:a:v16,l9:r:v2,l12:r:v3,l15:r:v9
bus73,l1:a:v38,l6:r:v6,l13:a:v1,l13:a:v2
bus74,l1:a:v33,l1:r:v19,l2:a:v29,l3:r:v27,l5:r:v2,l12:r:v21,l14:r:v5
bus75,l1:a:v7,l1:a:v26,l1:r:v37,l7:a:v6,l12:a:v8
bus76,l2:a:v28,l2:r:v30,l4:a:v10,l10:a:v1,l11:a:v10,l11:r:v3
bus77,l1:a:v43,l5:a:v9,l6:r:v1,l11:a:v16,l12:a:v7,l14:a:v12,l15:r:v5
bus78,l2:a:v38,l3:a:v1,l7:a:v9,l10:r:v2,l12:a:v15,l12:r:v1
bus79,l1:r:v21,l1:r:v29,l1:r:v38,l3:a:v18,l12:r:v17,l14:r:v3
bus80,l3:a:v43,l6:a:v1,l11:r:v1,l14:r:v10
bus81,l1:a:v8,l2:r:v14,l3:a:v3,l3:a:v31,l4:a:v11,l7:r:v8,l10:a:v19
bus82,l1:r:v33,l11:r:v12
bus83,l1:a:v10,l2:a:v21,l3:r:v29,l3:r:v36,l10:a:v20,l10:r:v18,l12:r:v8
bus84,l2:a:v4,l2:r:v1,l13:a:v9,l13:r:v2
bus85,l1:a:v27,l2:a:v36,l2:a:v43,l2:r:v20,l2:r:v38,l6:a:v9,l14:a:v3
bus86,l1:r:v15,l3:a:v4,l3:r:v31,l3:r:v43,l4:a:v1,l11:a:v11
bus87,l1:r:v16,l2:r:v10,l3:a:v7,l3:a:v17,l10:r:v11
bus88,l1:r:v6
bus89,l2:a:v9
bus90,l3:r:v17,l10:a:v11
bus91,l4:r:v5
bus92,l2:r:v3,l10:a:v17
bus93,l1:a:v18,l3:a:v33
bus94,l3:r:v19
bus95,l11:a:v7
bus96,l1:r:v3,l3:r:v1
bus97,l11:a:v12
bus98,l1:r:v31
bus99,l6:r:v3,l11:r:v17
bus100,l2:r:v7,l2:r:v37
bus101,l10:r:v1,l14:r:v8
bus102,l4:a:v7,l12:r:v16
bus103,l1:r:v32,l4:r:v8
bus104,l1:a:v32,l1:r:v39
bus105,l1:a:v9,l1:a:v30
bus106,l14:a:v10,l14:r:v9
bus107,l3:r:v13,l3:r:v20
