#Bentoumi Feth-Allah, Bosch I Sais Jordi, Casol Nicolas, Jouet Jeremie, Leger Olivier, Menet Cedric
107,71597,12877
bus0,l5:a:v1,l14:a:v10,l7:a:v10
bus1,l3:r:v4,l4:a:v1,l12:a:v6,l9:r:v2,l1:r:v25,l3:a:v34,l15:a:v9
bus2,l3:a:v8,l13:a:v3,l12:r:v8,l5:a:v11
bus3,l2:r:v1,l3:r:v10,l7:a:v4,l1:r:v15,l10:r:v9,l4:r:v8
bus4,l7:a:v1,l1:r:v19,l6:a:v7,l11:r:v19
bus5,l1:r:v2,l3:a:v11,l1:a:v11,l11:a:v8,l12:r:v11,l2:a:v38
bus6,l2:a:v8,l14:a:v6,l4:a:v7,l11:r:v15,l7:r:v10
bus7,l12:a:v1,l14:r:v2,l3:a:v14,l2:a:v14,l12:a:v16,l3:a:v41
bus8,l10:r:v8,l2:r:v24,l1:a:v28,l5:a:v12,l5:r:v12
bus9,l2:a:v3,l1:r:v9,l3:r:v21,l6:r:v6,l12:r:v16,l2:a:v36,l1:r:v37
bus10,l4:a:v2,l10:a:v6,l3:a:v21,l2:a:v27,l15:r:v8,l6:r:v10
bus11,l13:r:v2,l5:r:v5,l5:a:v7,l10:r:v14,l9:a:v4
bus12,l3:r:v11,l3:a:v20,l4:a:v5,l3:r:v28,l14:r:v9,l1:r:v31,l13:r:v9
bus13,l1:r:v1,l1:r:v6,l1:a:v14,l11:r:v10,l3:r:v32
bus14,l1:r:v4,l5:r:v4,l2:r:v17,l14:a:v7,l5:a:v10,l12:r:v18
bus15,l9:r:v1,l12:a:v10,l11:r:v17
bus16,l14:r:v3,l14:a:v8,l14:a:v9,l3:a:v36,l3:a:v43
bus17,l4:r:v1,l3:r:v19,l15:a:v5,l4:a:v9,l14:r:v12,l2:a:v41
bus18,l3:r:v20,l3:a:v30,l1:a:v34
bus19,l12:r:v5,l3:a:v25,l4:a:v8,l4:r:v9
bus20,l7:a:v2,l5:r:v3,l13:r:v4,l2:r:v21,l6:a:v6,l1:r:v27,l1:a:v30,l6:r:v9,l14:a:v11
bus21,l2:r:v5,l10:a:v10,l2:r:v26,l10:a:v14,l1:r:v35,l12:r:v21
bus22,l1:a:v10,l2:r:v13,l4:r:v4,l12:a:v15,l3:r:v40,l10:a:v20
bus23,l3:r:v16,l13:a:v8,l10:a:v15,l10:a:v18
bus24,l2:a:v1,l15:a:v3,l3:r:v22,l1:a:v26,l7:a:v9,l2:a:v39
bus25,l9:a:v2,l12:r:v6,l11:a:v16,l11:a:v18
bus26,l11:r:v5,l3:a:v22,l14:r:v7,l12:r:v13,l12:r:v15
bus27,l14:a:v1,l3:a:v15,l7:r:v7,l1:a:v41
bus28,l3:a:v9,l3:a:v16,l2:a:v17,l1:r:v20,l10:a:v16,l13:r:v10
bus29,l12:r:v2,l10:r:v3,l12:a:v8,l5:r:v9,l12:a:v18,l1:a:v37,l9:r:v4
bus30,l1:a:v25,l2:a:v28,l2:r:v31,l10:a:v19
bus31,l11:a:v2,l4:r:v2,l5:a:v5,l6:r:v4,l6:a:v5
bus32,l12:a:v2,l11:a:v5,l4:a:v4,l2:a:v22,l10:a:v12,l2:r:v42
bus33,l13:r:v1,l4:a:v3,l2:a:v16,l1:a:v21,l2:r:v40,l3:r:v44
bus34,l3:a:v6,l3:r:v8,l14:a:v5,l13:a:v7,l3:a:v35
bus35,l11:a:v3,l10:r:v4,l12:a:v9,l5:r:v7,l7:r:v8,l4:r:v10,l11:a:v20
bus36,l5:r:v2,l2:a:v21,l15:r:v5,l3:a:v32,l6:a:v9,l1:r:v34
bus37,l3:a:v10,l11:a:v6,l5:a:v6,l15:a:v4,l12:r:v14,l1:a:v32,l10:r:v18
bus38,l3:r:v2,l5:r:v1,l1:a:v12,l11:r:v16
bus39,l7:r:v4,l13:r:v6,l11:a:v17,l12:a:v21,l1:a:v43
bus40,l3:r:v3,l2:a:v5,l5:a:v3,l1:a:v15,l11:r:v11,l6:a:v8
bus41,l2:a:v9,l11:a:v9,l7:r:v6,l4:a:v12
bus42,l3:r:v15,l5:r:v6,l11:a:v13
bus43,l11:r:v4,l12:r:v7,l3:a:v24,l13:a:v10
bus44,l11:r:v6,l1:a:v19,l2:r:v27,l1:r:v32
bus45,l1:r:v22,l2:r:v28,l2:r:v33
bus46,l3:a:v2,l3:r:v5,l6:r:v2,l9:a:v3,l11:a:v14,l3:r:v42
bus47,l11:r:v2,l10:a:v4,l14:r:v4,l2:a:v18,l1:a:v24,l4:a:v11
bus48,l11:r:v3,l10:r:v5,l2:a:v20,l12:r:v12,l6:r:v8,l3:r:v38,l1:r:v38
bus49,l1:a:v6,l12:a:v5,l1:a:v33,l1:r:v36
bus50,l12:a:v4,l6:a:v3,l4:r:v6,l10:r:v13,l3:r:v41,l1:a:v40
bus51,l13:a:v1,l10:a:v2,l2:a:v13,l4:a:v6,l11:r:v14,l3:a:v42
bus52,l1:r:v3,l6:a:v1,l15:r:v6,l12:a:v20
bus53,l3:r:v12,l1:a:v16,l11:r:v13,l3:a:v33,l15:a:v8,l15:r:v9
bus54,l7:r:v1,l1:r:v16,l12:a:v12,l3:a:v37
bus55,l10:a:v3,l13:r:v3,l3:r:v23,l3:r:v29,l11:a:v15
bus56,l2:r:v7,l2:a:v19,l1:a:v23,l10:a:v17,l11:a:v21
bus57,l2:r:v2,l14:a:v2,l14:a:v3,l1:r:v14,l14:r:v6,l11:r:v12,l2:a:v31,l1:r:v39
bus58,l5:a:v2,l14:a:v4,l15:r:v4
bus59,l2:r:v3,l7:r:v3,l1:a:v20,l6:r:v7
bus60,l3:a:v12,l2:r:v30
bus61,l1:a:v2,l15:r:v3,l13:r:v5,l2:a:v25,l3:r:v33
bus62,l11:r:v1,l7:r:v2,l2:r:v15,l1:r:v21,l4:r:v7
bus63,l3:a:v3,l1:r:v5,l2:r:v12,l1:r:v33
bus64,l2:r:v8,l11:r:v8,l3:r:v37
bus65,l3:r:v24,l2:a:v29,l3:a:v39
bus66,l11:a:v1,l6:r:v3,l10:r:v10
bus67,l15:r:v1,l10:r:v2,l11:a:v11,l14:r:v8,l2:r:v32,l12:r:v19
bus68,l10:r:v1,l4:r:v3,l3:a:v40
bus69,l2:a:v2,l11:r:v9,l1:r:v24,l3:a:v31
bus70,l12:r:v1,l1:r:v7,l7:r:v5,l2:a:v23,l7:a:v7,l7:a:v8
bus71,l7:a:v3,l4:r:v5,l13:a:v9
bus72,l10:a:v9,l1:a:v42
bus73,l3:a:v1,l6:r:v1,l2:a:v24,l10:r:v15,l2:r:v36
bus74,l10:a:v13,l11:a:v19
bus75,l2:r:v6,l1:r:v11,l6:a:v4,l1:r:v30,l1:a:v36
bus76,l2:a:v4,l3:r:v14,l12:r:v9,l3:a:v26,l9:r:v3,l3:a:v44
bus77,l13:a:v2,l3:r:v26,l3:r:v31
bus78,l14:r:v1,l2:a:v12,l13:a:v6,l2:r:v29,l6:a:v10,l2:a:v42
bus79,l10:r:v6,l15:a:v6,l2:a:v33,l2:a:v35
bus80,l2:a:v7,l12:r:v4,l3:r:v17,l1:r:v17,l10:r:v16,l14:a:v12
bus81,l1:r:v12,l2:r:v19,l3:a:v28,l1:a:v31
bus82,l12:a:v3,l2:r:v10,l1:r:v13,l1:a:v27,l3:r:v36,l3:a:v38,l1:r:v40
bus83,l1:a:v4,l12:r:v3,l10:a:v8,l13:r:v7,l15:a:v7,l11:r:v18
bus84,l3:r:v6,l10:a:v5,l3:a:v19,l1:a:v18,l12:a:v13,l15:r:v7,l3:r:v39,l2:a:v43
bus85,l1:r:v8,l2:r:v16,l1:a:v29,l2:a:v40
bus86,l9:a:v1,l3:r:v9,l3:a:v13,l12:a:v7,l12:a:v19,l13:a:v11
bus87,l3:a:v4,l15:a:v1,l1:a:v13,l1:a:v22,l1:r:v23,l5:a:v9,l12:r:v17,l1:a:v38
bus88,l10:a:v1,l1:a:v8,l5:a:v4,l1:r:v18,l3:r:v30,l4:r:v11,l2:r:v39,l2:r:v41
bus89,l1:a:v9,l5:a:v8,l3:r:v35,l2:r:v34,l2:r:v43
bus90,l2:a:v11,l10:a:v7,l5:r:v11
bus91,l15:a:v2,l1:a:v17,l5:r:v8,l14:r:v10
bus92,l3:a:v5,l12:a:v11,l14:r:v11,l12:r:v20
bus93,l2:r:v9,l14:r:v5,l6:r:v5,l1:r:v28,l2:r:v37
